,Address,Number of Incidents
1583,100 E CHAFFEE AV ,1
1584,100 MILES AV   ,1
1585,100 E BISSELL ST     ,1
1586,100 E  JEFFERSON ST     ,1
1587,100 MERRIMAN AVE    ,1
1588,100 DURSTON AV   ,1
1589,0 S WARREN ST & E WATER ST        ,1
1590,0 S WARREN ST & MADISON ST        ,1
1591,0 S SALINA ST & E WASHINGTON ST        ,1
1592,100 COLERIDGE AV   ,1
1593,100 CHATHAM PL   ,1
1594,100 CHATHAM PL     ,1
1595,100 CHARMOUTH DR     ,1
1596,100 BUNGALOW TER    ,1
1597,100 BROOKLEA PL     ,1
1598,100 BOISE DR     ,1
1599,0 HICKORY ST & PROSPECT AV    ,1
1600,0 GRANT BLVD & VILLAGE DR    ,1
1601,0 FIRST NORTH ST     ,1
1602,0 EUCLID AV & ACKERMAN AV        ,1
1603,0 ERIE BLVD E & WESTMORELAND AV        ,1
1604,0 ERIE BLVD E & JAMES ST        ,1
1605,0 DUPLI PARK DR     ,1
1606,0 COURT ST & SPRING ST    ,1
1607,0 COOLIDGE AV & STERLING AV        ,1
1608,0 CONGRESS AV & KELLOGG ST        ,1
1609,0 CATHERINE ST & JAMES ST    ,1
1610,0 CANNON ST & W BRIGHTON AV    ,1
1611,0 BUTTERNUT ST & SCHNEIDER ST        ,1
1612,0 BUTTERNUT ST & LODI ST        ,1
1613,0 BUTTERNUT ST & GRASSMAN AV        ,1
1614,100 CLEVELAND AVE    ,1
1615,100 CONIFER DR     ,1
1616,0 BEAR ST & SPRING ST    ,1
1617,100 CROUSE DR   ,1
1618,0 S GEDDES ST & ONONDAGA BLVD    ,1
1619,0 S CLINTON ST & W WATER ST        ,1
1620,0 S CROUSE AV & E ADAMS ST    ,1
1621,0 S CLINTON ST & W FAYETTE ST        ,1
1622,0 PUTNAM ST & S GEDDES ST    ,1
1623,0 S  CLINTON SQ     ,1
1624,0 ROBINCROFT RD     ,1
1625,0 OAKWOOD AV & TRUTH TER    ,1
1626,0 N TOWNSEND ST & E LAUREL ST    ,1
1627,0 N STATE ST & CATAWBA ST        ,1
1628,0 N SALINA ST & BUTTERNUT ST        ,1
1629,0 MOORE AV   ,1
1630,0 MIDLAND AV & W OSTRANDER AV        ,1
1631,0 MARSHALL ST & WALNUT AV        ,1
1632,0 MADISON ST & MONTGOMERY ST        ,1
1633,0 JAMES ST & CLIFTON PL        ,1
1634,100 E FAYETTE ST     ,1
1635,100 E  GENESEE ST     ,1
1636,100 E  FAYETTE ST     ,1
1637,100 DORSET RD     ,1
1638,100 DRISCOLL AV   ,1
1639,100 BURNS AV   ,1
1640,100 CAMP AVE    ,1
1641,1000 VALLEY DR     ,1
1642,100 PHARIS ST     ,1
1643,100 GRAVES ST     ,1
1644,100 GRAPE TER    ,1
1645,100 GRANT AVE    ,1
1646,100 GRAND AVE    ,1
1647,100 GORLAND AVE    ,1
1648,100 GORLAND AV   ,1
1649,100 REMINGTON AV ,1
1650,100 REED AVE    ,1
1651,100 PULASKI ST     ,1
1652,100 RADISSON CT     ,1
1653,100 PENNSYLVANIA AVE    ,1
1654,100 E ONONDAGA ST   ,1
1655,100 PENNSYLVANIA AV   ,1
1656,100 PARRISH LN     ,1
1657,100 PARKSIDE AVE    ,1
1658,100 OSTROM AV   ,1
1659,100 OBERST ST     ,1
1660,100 OAKLAND ST     ,1
1661,100 OAK PL     ,1
1662,100 GEBHARDT AVE    ,1
1663,100 N SALINA ST   ,1
1664,100 FURMAN ST     ,1
1665,100 HADDON RD     ,1
1666,100 HOUSTON AV   ,1
1667,100 HARRISON PL     ,1
1668,100 HARRISON ST     ,1
1669,100 SUNSET AV   ,1
1670,1000 SUNNYCREST RD     ,1
1671,1000 S MCBRIDE ST   ,1
1672,1000 S MCBRIDE ST     ,1
1673,100 STINARD AV   ,1
1674,100 STEVENS PL     ,1
1675,100 RUSKIN AVE    ,1
1676,100 STEVENS PL   ,1
1677,100 HOLDEN ST     ,1
1678,100 HIXSON AVE    ,1
1679,100 HILLSIDE ST     ,1
1680,100 HIXSON AV   ,1
1681,100 HIGHLAND AVE    ,1
1682,100 HIGHLAND AV   ,1
1683,100 HERZ ST     ,1
1684,100 HERALD PL   ,1
1685,100 HEADSON DR     ,1
1686,100 HAYDEN AV   ,1
1687,100 HASBROUCK ST     ,1
1688,100 HASTINGS PL     ,1
1689,100 HARWOOD AVE    ,1
1690,100 FORDHAM RD   ,1
1691,100 N LOWELL AV   ,1
1692,100 N CLINTON ST     ,1
1693,100 HARDING PL     ,1
1694,100 FRISBIE CT   ,1
1695,100 FITCH ST   ,1
1696,100 FOBES AV   ,1
1697,100 FAYETTE BLVD   ,1
1698,100 ENFIELD PL     ,1
1699,100 COOK AV   ,1
1700,100 CONAN ST     ,1
1701,100 ELIZ.BLACKWELL ST     ,1
1702,100 COMSTOCK AVE    ,1
1703,100 CLOVER ST     ,1
1704,100 CLYDE AV   ,1
1705,100 EDTIM RD   ,1
1706,100 CLIFTON PL     ,1
1707,100 CLARKE ST     ,1
1708,100 EDMUND AV   ,1
1709,100 CHANNING PL     ,1
1710,100 CHAMPLIN DR     ,1
1711,100 CHAFFEE AVE    ,1
1712,100 CARBON ST     ,1
1713,100 E WARRINGTON RD     ,1
1714,100 CANDEE AV   ,1
1715,100 GIFFORD ST     ,1
1716,100 HARFORD RD     ,1
1717,100 FISCOE AV   ,1
1718,100 HIGHRIDGE PL     ,1
1719,100 FENWAY DR     ,1
1720,100 FENTON ST     ,1
1721,100 FEIGEL AVE    ,1
1722,100 EUREKA ST     ,1
1723,100 ERIE ST     ,1
1724,100 ERIE BLVD E,1
1725,100 ENGLEWOOD AV   ,1
1726,100 ELMWOOD AVE    ,1
1727,100 EDGEHILL RD     ,1
1728,100 E REMINGTON AV   ,1
1729,100 E LAFAYETTE AV   ,1
1730,100 E MATSON AV   ,1
1731,100 MORNINGSIDE TER    ,1
1732,100 E COLVIN ST     ,1
1733,100 MOONEY AV   ,1
1734,100 ANDERSON AV   ,1
1735,100 ALMOND ST     ,1
1736,100 ALBERT TER    ,1
1737,100 INTREPID LN     ,1
1738,100 HUNTLEY ST     ,1
1739,100 HUGHES PL   N ,1
1740,100 SUNNYSIDE PARK RD     ,1
1741,1100 TEALL AV   ,1
1742,200 UNIVERSITY AV   ,1
1743,200 ELLIOT ST     ,1
1744,400 E  BRIGHTON AVE    ,1
1745,2300 ERIE BLVD E ,1
1746,300 COLERIDGE AVE    ,1
1747,400 E  BRIGHTON AV   ,1
1748,2200 S  STATE ST     ,1
1749,2300 E FAYETTE ST     ,1
1750,200 GERTRUDE ST     ,1
1751,200 FOBES AVE    ,1
1752,200 FLETCHER AV   ,1
1753,200 FERNDALE DR     ,1
1754,200 EVALEEN AVE    ,1
1755,200 CRADDOCK ST     ,1
1756,200 ELLIOTT ST     ,1
1757,200 EMPIRE AV   ,1
1758,200 E SENECA TPKE   ,1
1759,200 ELIZABETH ST     ,1
1760,200 E ADAMS ST     ,1
1761,200 E COLVIN ST     ,1
1762,200 E  GLEN AVE    ,1
1763,200 DOUGLAS ST     ,1
1764,200 DOROTHY ST     ,1
1765,200 DELRAY AVE    ,1
1766,200 HALL AV   ,1
1767,400 E  DIVISION ST     ,1
1768,200 HALL AVE    ,1
1769,300 W  COLVIN ST     ,1
1770,200 S  WEST ST     ,1
1771,300 CRAIG ST     ,1
1772,300 W  WASHINGTON ST     ,1
1773,300 W  KIRKPATRICK ST     ,1
1774,300 W  HIAWATHA BLVD   ,1
1775,300 COOLIDGE AV   ,1
1776,300 W  GENESEE ST     ,1
1777,300 COMSTOCK AV   ,1
1778,300 W  FAYETTE ST     ,1
1779,2100 S GEDDES ST     ,1
1780,2100 EUCLID AV   ,1
1781,2100 COURT ST     ,1
1782,2000 S SALINA ST     ,1
1783,2000 S  SALINA ST     ,1
1784,2000 MIDLAND AV   ,1
1785,2000 JAMES ST   ,1
1786,2000 LODI ST     ,1
1787,2000 EUCLID AV   ,1
1788,2000 ERIE BLVD E,1
1789,2000 E  GENESEE ST     ,1
1790,200 WOODLAND AV   ,1
1791,200 DANFORTH ST     ,1
1792,200 COLUMBUS AV   ,1
1793,1100 S SALINA ST     ,1
1794,300 SHUART AV   ,1
1795,300 UNIVERSITY AVE    ,1
1796,200 GORDON AV   ,1
1797,300 TULLY ST     ,1
1798,300 TOMPKINS ST   ,1
1799,300 SUNRISE DR     ,1
1800,300 SUMMIT AV   ,1
1801,300 STRATHMORE DR     ,1
1802,300 STRATFORD ST     ,1
1803,300 STAFFORD AVE    ,1
1804,300 SLOCUM DR     ,1
1805,300 SHONNARD ST     ,1
1806,200 COLERIDGE AV   ,1
1807,300 SHIRLEY DR   ,1
1808,300 SHIRLEY DR     ,1
1809,300 SEELEY RD     ,1
1810,300 SCOTTHOLM TER    ,1
1811,300 SCOTT AV   ,1
1812,300 S MIDLER AV   ,1
1813,300 S LOWELL AV   ,1
1814,300 S  EDWARDS AV   ,1
1815,300 S  CARBON ST     ,1
1816,300 ROOSEVELT AV   ,1
1817,300 BEATTIE ST     ,1
1818,200 W WATER ST     ,1
1819,300 BERKELEY DR     ,1
1820,400 COMSTOCK        ,1
1821,200 CLARENDON ST     ,1
1822,400 HILLSDALE AV   ,1
1823,2200 S SALINA ST     ,1
1824,200 WHITTIER AV   ,1
1825,300 BURNET AV   ,1
1826,2300 E  FAYETTE ST     ,1
1827,400 DUDLEY ST     ,1
1828,200 WESTMORELAND AV   ,1
1829,400 HELEN ST     ,1
1830,200 ROSS PARK   ,1
1831,200 WEBSTER AV   ,1
1832,200 BURNET PARK DR     ,1
1833,200 WAVERLEY AV   ,1
1834,300 BROAD ST     ,1
1835,200 CANDEE AVE    ,1
1836,200 ROE AV   ,1
1837,300 BRADLEY ST     ,1
1838,200 CANDEE AV   ,1
1839,200 ROBINEAU RD     ,1
1840,0 BURNET AV & MATHER ST        ,1
1841,2200 GRANT BLVD   ,1
1842,300 W COLVIN ST     ,1
1843,200 S FRANKLIN ST     ,1
1844,200 S WARREN ST     ,1
1845,3600 E GENESEE ST     ,1
1846,200 ASH ST     ,1
1847,400 BOYDEN ST   ,1
1848,200 ARNOLD AVE    ,1
1849,1900 W COLVIN ST     ,1
1850,400 BOSTON ST     ,1
1851,200 AINSLEY DR   ,1
1852,400 BISHOP AV   ,1
1853,200 SUNNYCREST RD     ,1
1854,1900 S STATE ST     ,1
1855,400 AVERY AV   ,1
1856,200 SHERWOOD AV   ,1
1857,2300 S STATE ST     ,1
1858,3600 MIDLAND AVE    ,1
1859,2400 ERIE BLVD E,1
1860,1900 SOUTH AV   ,1
1861,200 STRAND PL   ,1
1862,400 RUGBY RD     ,1
1863,1900 S SALINA ST     ,1
1864,3000 MIDLAND AV   ,1
1865,400 GLENWOOD AV   ,1
1866,200 SEYMOUR ST     ,1
1867,400 ROBINEAU RD     ,1
1868,400 BOYDEN ST     ,1
1869,200 SUNSTRUCK DR     ,1
1870,400 BRATTLE RD     ,1
1871,300 HICKOK AVE    ,1
1872,300 KRAMER DR     ,1
1873,200 BEAR ST     ,1
1874,200 LIME ST     ,1
1875,300 KENSINGTON PL     ,1
1876,200 TOMPKINS ST   ,1
1877,200 LILAC ST     ,1
1878,200 TURTLE ST     ,1
1879,200 LEXINGTON AV   ,1
1880,200 BEACON RD   ,1
1881,300 HILLVIEW AVE    ,1
1882,200 BASSETT ST     ,1
1883,200 LEMOYNE AV   ,1
1884,300 HIXSON AV   ,1
1885,400 BURNET PARK DR   ,1
1886,300 HIGHLAND ST     ,1
1887,400 BURNET AVE    ,1
1888,400 S LOWELL AV   ,1
1889,300 HICKORY ST   ,1
1890,300 HICKORY ST     ,1
1891,200 BARNES AV   ,1
1892,400 BUCKINGHAM AV   ,1
1893,300 HIAWATHA BLVD W,1
1894,400 PULASKI ST ,1
1895,300 WOODRUFF AV   ,1
1896,300 W OSTRANDER AV   ,1
1897,400 LEAVENWORTH AVE    ,1
1898,200 HOPE AVE    ,1
1899,400 FABIUS ST     ,1
1900,200 HIAWATHA BLVD E ,1
1901,300 GERTRUDE ST     ,1
1902,400 EUCLID AVE    ,1
1903,200 HILLSIDE ST     ,1
1904,200 HIER AVE    ,1
1905,300 FILLMORE AVE    ,1
1906,400 JAMES ST   ,1
1907,300 FABIUS ST     ,1
1908,1800 TEALL AV   ,1
1909,300 EUCLID AVE    ,1
1910,1800 S SALINA ST   ,1
1911,200 SCHUYLER ST     ,1
1912,1800 S SALINA ST     ,1
1913,1300 SOUTH AV   ,1
1914,200 HAYDEN AV   ,1
1915,300 E ONONDAGA ST     ,1
1916,300 W GENESEE ST     ,1
1917,300 E  WASHINGTON ST     ,1
1918,200 SCHUYLER ST   ,1
1919,200 HOUSTON AVE    ,1
1920,1900 MIDLAND AV   ,1
1921,400 FABIUS ST   ,1
1922,200 SENECA ST     ,1
1923,400 ROBERTS AVE    ,1
1924,300 WOODBINE AV   ,1
1925,400 N SALINA ST     ,1
1926,300 HAWLEY AVE    ,1
1927,1900 GLENWOOD AV   ,1
1928,200 KRAMER DR     ,1
1929,400 NORTH AV   ,1
1930,300 HAWLEY AV   ,1
1931,1900 GRANT BLVD   ,1
1932,200 KIRK AVE    ,1
1933,400 N  CLINTON ST     ,1
1934,300 HARTSON ST     ,1
1935,400 MILTON AVE    ,1
1936,200 KELLOGG ST     ,1
1937,300 WALNUT PL     ,1
1938,200 JAMES ST     ,1
1939,300 WALNUT AV   ,1
1940,200 JOHN ST     ,1
1941,200 HUNT AV   ,1
1942,300 W ONONDAGA ST     ,1
1943,300 ROBINEAU RD     ,1
1944,300 RENWICK AVE    ,1
1945,300 RENWICK AV   ,1
1946,1900 W  FAYETTE ST     ,1
1947,1200 W COLVIN ST     ,1
1948,1200 W  BELDEN AVE    ,1
1949,1200 SPRING ST     ,1
1950,1800 BELLEVUE AVE    ,1
1951,1800 BELLEVUE AV   ,1
1952,1700 E FAYETTE ST     ,1
1953,1700 E  FAYETTE ST     ,1
1954,1700 BUTTERNUT ST     ,1
1955,1600 W GENESEE ST     ,1
1956,1600 W  GENESEE ST     ,1
1957,1300 E  ADAMS ST     ,1
1958,200 LORRAINE AVE    ,1
1959,1400 MIDLAND AV   ,1
1960,1300 COURT ST     ,1
1961,1200 MILTON AVE    ,1
1962,1000 HARRISON ST   ,1
1963,200 W  PLEASANT AVE    ,1
1964,1000 ERIE BLVD W ,1
1965,200 W  KENNEDY ST     ,1
1966,1000 EUCLID AVE    ,1
1967,200 W  FAYETTE ST     ,1
1968,1000 E ADAMS ST     ,1
1969,1800 W FAYETTE ST     ,1
1970,1200 WOLF ST     ,1
1971,1300 BELLEVUE AVE    ,1
1972,1900 E  FAYETTE ST     ,1
1973,200 HUBBELL AVE    ,1
1974,200 HOPPER RD   ,1
1975,200 HOMECROFT RD     ,1
1976,200 HILTON RD     ,1
1977,1300 S STATE ST     ,1
1978,200 HAWTHORNE ST     ,1
1979,200 HARVARD PL     ,1
1980,200 HARRISON ST     ,1
1981,200 HANCOCK DR     ,1
1982,200 HAFFENDEN RD     ,1
1983,1700 SOUTH AVE    ,1
1984,200 W GENESEE ST   ,1
1985,1700 N SALINA ST   ,1
1986,1900 W GENESEE ST     ,1
1987,200 GOODRICH AVE    ,1
1988,200 GLENWOOD AV   ,1
1989,1400 N  STATE ST     ,1
1990,1300 E COLVIN ST     ,1
1991,200 GIFFORD ST     ,1
1992,200 GILBERT AV   ,1
1993,1400 N  SALINA ST     ,1
1994,1000 ERIE BLVD E ,1
1995,1400 LANCASTER AV   ,1
1996,1000 E  FAYETTE ST     ,1
1997,1600 JAMES ST   ,1
1998,1600 HAWLEY AV   ,1
1999,1600 GRANT BLVD   ,1
2000,1600 COURT ST     ,1
2001,1500 TEALL AV   ,1
2002,1500 S STATE ST     ,1
2003,1500 S GEDDES ST     ,1
2004,1400 E  FAYETTE ST     ,1
2005,1500 N SALINA ST     ,1
2006,1500 MEADOWBROOK DR     ,1
2007,1500 LODI ST     ,1
2008,100 WOLF ST     ,1
2009,200 SHOTWELL PARK ,1
2010,200 SHUART AV   ,1
2011,1200 MIDLAND AVE    ,1
2012,1200 JAMES ST     ,1
2013,1200 HIGHLAND ST     ,1
2014,1200 GLENWOOD AVE    ,1
2015,1200 COURT ST     ,1
2016,1200 CUMBERLAND AV   ,1
2017,1100 W ONONDAGA ST     ,1
2018,1100 WILLIS AV   ,1
2019,1600 JAMES ST     ,1
2020,2200 E GENESEE ST     ,1
2021,200 W  BRIGHTON AVE    ,1
2022,2200 EUCLID AV   ,1
2023,1700 COURT ST     ,1
2024,1400 HAWLEY AV   ,1
2025,200 W  BRIGHTON AV   ,1
2026,1400 GRANT BLVD   ,1
2027,1000 COURT ST     ,1
2028,1400 GLENWOOD AV   ,1
2029,1400 ERIE BLVD E,1
2030,1400 ERIE BLVD E ,1
2031,1600 W COLVIN ST     ,1
2032,1400 E GENESEE ST   ,1
2033,1400 BELLEVUE AVE    ,1
2034,1600 VALLEY DR     ,1
2035,1300 TEALL AV   ,1
2036,200 SMALL RD     ,1
2037,1000 BALLANTYNE RD     ,1
2038,100 WYOMING ST     ,1
2039,100 WORDEN AV   ,1
2040,100 WOOD AVE    ,1
2041,1600 S GEDDES ST     ,1
2042,1200 N STATE ST     ,1
2043,2200 MIDLAND AV   ,1
2044,200 IVY RIDGE RD     ,1
2045,200 MAINS AV   ,1
2046,300 PUTNAM ST ,1
2047,200 EUCLID AVE    ,1
2048,200 N  STATE ST     ,1
2049,200 N  MIDLER AVE    ,1
2050,200 MOONEY AV   ,1
2051,200 MERRIMAN AV   ,1
2052,200 MCKINLEY AVE    ,1
2053,200 MAY AV   ,1
2054,1300 OAK ST     ,1
2055,200 FOREST AV   ,1
2056,1300 NORTHCLIFFE RD     ,1
2057,200 FENWAY DR     ,1
2058,200 EUCLID        ,1
2059,200 MELROSE AV   ,1
2060,200 E WARRINGTON RD     ,1
2061,200 E FAYETTE ST     ,1
2062,200 E  WARRINGTON RD     ,1
2063,200 E  ONONDAGA ST     ,1
2064,1300 N  SALINA ST     ,1
2065,200 DARLINGTON RD     ,1
2066,200 CRESTVIEW DR     ,1
2067,1300 MILTON AVE    ,1
2068,200 CORTLAND AV   ,1
2069,1300 MILTON AV   ,1
2070,200 N  TOWNSEND ST     ,1
2071,200 OAKWOOD AV   ,1
2072,200 ORLANDO AV   ,1
2073,200 OSTROM AV   ,1
2074,300 OVERLOOK DR     ,1
2075,300 OTISCO ST     ,1
2076,300 ONONDAGA AVE    ,1
2077,300 N  MIDLER AV   ,1
2078,300 MT OLYMPUS DR     ,1
2079,300 MOUNTAINVIEW AVE    ,1
2080,300 MILDRED AV   ,1
2081,300 MELROSE AVE    ,1
2082,300 MARTIN LUTHER KING      W ,1
2083,300 MARCELLUS ST   ,1
2084,300 MARCELLUS ST     ,1
2085,200 RIVERDALE DR     ,1
2086,200 REED AV   ,1
2087,200 PULASKI ST     ,1
2088,200 PRIMROSE AV   ,1
2089,200 POLK ST     ,1
2090,200 PINE ST     ,1
2091,200 PAUL AVE    ,1
2092,200 PALMER AV   ,1
2093,300 MARGUERITE AVE    ,1
2094,200 ORLANDO AVE    ,1
2095,200 COMSTOCK PL     ,1
2096,1300 MIDLAND AVE    ,1
2097,1300 MIDLAND AV   ,1
2098,1400 NORTHCLIFFE RD     ,1
2099,1800 MIDLAND AV   ,1
2100,1400 N STATE ST   ,1
2101,1400 N STATE ST     ,1
2102,1800 LODI ST   ,1
2103,1800 ERIE BLVD E,1
2104,200 WAINWRIGHT AV   ,1
2105,200 W ONONDAGA ST     ,1
2106,200 W MATSON AV   ,1
2107,1800 BURNET AVE    ,1
2108,1700 VALLEY DR     ,1
2109,200 W KENNEDY ST     ,1
2110,200 S  EDWARDS AVE    ,1
2111,200 ROCKLAND AV   ,1
2112,200 PINE GROVE ST     ,1
2113,200 PARKWAY DR     ,1
2114,200 ONONDAGA AVE    ,1
2115,200 ONONDAGA AV   ,1
2116,200 N WILBUR AV   ,1
2117,200 N COLLINGWOOD AV   ,1
2118,200 N  MIDLER AV   ,1
2119,200 MOUNT OLYMPUS DR     ,1
2120,1800 N SALINA ST     ,1
2121,200 WARHAM ST     ,1
2122,200 COLUMBIA AVE    ,1
2123,2300 E GENESEE ST     ,1
2124,1300 MADISON ST     ,1
2125,200 COLDBROOK DR     ,1
2126,200 CLYDE AV   ,1
2127,200 CLIFTON PL     ,1
2128,200 CATHERINE ST     ,1
2129,1300 EUCLID AV   ,1
2130,200 BROOKFORD RD     ,1
2131,1300 E GENESEE ST   ,1
2132,200 BALLANTYNE RD     ,1
2133,200 AVERY AV   ,1
2134,200 ASHDALE AV   ,1
2135,2000 E  FAYETTE ST     ,1
2136,300 ARTHUR ST     ,1
2137,300 ARLINGTON AV   ,1
2138,2000 BELLEVUE AV   ,1
2139,300 APPLE ST     ,1
2140,300 ALLEN ST     ,1
2141,1400 S MCBRIDE ST   ,1
2142,2900 E GENESEE ST   ,1
2143,2700 E GENESEE ST     ,1
2144,200 WESTMINSTER AV   ,1
2145,2200 JAMES ST     ,1
