,Address,Number of Incidents
571,300 STATE FAIR BLVD   ,2
572,200 BURNET AV   ,2
573,200 MCLENNAN AV   ,2
574,200 MARTIN ST     ,2
575,200 MARGUERITE AVE    ,2
576,200 MARGUERITE AV   ,2
577,1300 SALT SPRINGS RD     ,2
578,200 MAPLEHURST AV   ,2
579,500 E WILLOW ST     ,2
580,500 ERIE BLVD E ,2
581,200 LORRAINE AV   ,2
582,200 S  SALINA ST     ,2
583,300 SPENCER ST     ,2
584,200 WHITTIER AVE    ,2
585,200 CAMBRIDGE ST     ,2
586,200 LILLIAN AV   ,2
587,700 MARYLAND AV   ,2
588,200 ROOSEVELT AVE    ,2
589,200 E JEFFERSON ST     ,2
590,200 SALT SPRINGS RD     ,2
591,200 DORCHESTER AV   ,2
592,200 WASHINGTON SQ     ,2
593,2600 MIDLAND AVE    ,2
594,2600 E GENESEE ST     ,2
595,600 N  TOWNSEND ST     ,2
596,300 BOYDEN ST     ,2
597,2200 LODI ST     ,2
598,500 BUCKINGHAM AV   ,2
599,2900 E GENESEE ST     ,2
600,600 N  FRANKLIN ST     ,2
601,600 OSWEGO ST     ,2
602,300 UNIVERSITY PL     ,2
603,500 BURNET AV   ,2
604,2200 S GEDDES ST     ,2
605,200 S  WARREN ST     ,2
606,300 BASIN ST     ,2
607,600 BELLEVUE AV   ,2
608,200 WALNUT PL     ,2
609,200 CAYUGA ST     ,2
610,2500 MIDLAND AV   ,2
611,200 CLEVELAND AV   ,2
612,300 CATHERINE ST     ,2
613,200 CRESCENT AVE    ,2
614,200 W WILLOW ST     ,2
615,700 WESTCOTT ST     ,2
616,500 COLUMBUS AV   ,2
617,200 KENWICK DR     ,2
618,700 LEMOYNE AVE    ,2
619,300 COLUMBUS AV   ,2
620,300 ASHDALE AV   ,2
621,500 N  SALINA ST     ,2
622,200 WADSWORTH ST     ,2
623,1300 N SALINA ST     ,2
624,2100 MIDLAND AV   ,2
625,1200 W BELDEN AV   ,2
626,200 E BORDEN AV   ,2
627,200 GARFIELD AV   ,2
