X,Y,DATEEND,TIMESTART,TIMEEND,ADDRESS,Arrest,LarcenyCode,CODE_DEFINED,LAT,LONG,ObjectId
-8477412.25795148,5316745.91547134,2023/11/06 00:00:00+00,0201,305,800 MIDLAND AV   ,,,AGGRAVATED ASSAULT,43.031356966,-76.153890011,6304
-8474136.40096449,5317527.64900924,2023/10/29 00:00:00+00,2200,915,800 ACKERMAN AV   ,,From Motor Vehicle,LARCENY,43.0364900110001,-76.124462487,6305
-8476201.57121462,5320346.27976116,2023/08/01 00:00:00+00,2000,0,700 JAMES ST     ,,From Motor Vehicle,LARCENY,43.054994234,-76.143014227,6306
-8477412.25795148,5316745.91547134,2023/08/04 00:00:00+00,1417,2356,800 MIDLAND AVE    ,,All Other,LARCENY,43.031356966,-76.153890011,6307
-8474136.40096449,5317527.64900924,2023/11/30 00:00:00+00,1945,2100,800 ACKERMAN AV   ,,From Building,BURGLARY,43.0364900110001,-76.124462487,6308
-8476201.57121462,5320346.27976116,2023/10/03 00:00:00+00,1103,1103,700 JAMES ST     ,,From Building,LARCENY,43.054994234,-76.143014227,6309
-8481508.72782687,5320184.90144078,2023/11/20 00:00:00+00,0703,703,800 MILTON AV   ,,Motor Vehicle,MV THEFT,43.0539349410001,-76.190689226,6310
-8474136.40096449,5317527.64900924,2023/07/02 00:00:00+00,0000,904,800 ACKERMAN AV   ,,From Motor Vehicle,LARCENY,43.0364900110001,-76.124462487,6311
-8476201.57121462,5320346.27976116,2023/10/14 00:00:00+00,2102,2102,700 JAMES ST     ,,Pocket Picking,LARCENY,43.054994234,-76.143014227,6312
-8472914.06876174,5316782.60475374,2023/09/18 00:00:00+00,2100,2235,800 MEADOWBROOK DR     ,,All Other,LARCENY,43.031597886,-76.1134820899999,6313
-8474136.40096449,5317527.64900924,2023/12/06 00:00:00+00,1900,802,800 ACKERMAN AV   ,,From Motor Vehicle,LARCENY,43.0364900110001,-76.124462487,6314
-8476201.57121462,5320346.27976116,2023/01/31 00:00:00+00,0300,400,700 JAMES ST     ,,,AGGRAVATED ASSAULT,43.054994234,-76.143014227,6315
-8476864.0744699,5318143.17556266,2023/05/25 00:00:00+00,1530,1600,800 MONTGOMERY ST     ,,From Motor Vehicle,LARCENY,43.0405314000001,-76.1489655949999,6316
-8474136.40096449,5317527.64900924,2023/12/09 00:00:00+00,0638,640,800 ACKERMAN AV   ,,From Motor Vehicle,LARCENY,43.0364900110001,-76.124462487,6317
-8476201.57121462,5320346.27976116,2023/02/02 00:00:00+00,1600,1409,700 JAMES ST     ,,All Other,LARCENY,43.054994234,-76.143014227,6318
